Age (Ma),"k (""/y)"
0,50.467718
1,50.48752966
2,50.50734131
3,50.52715297
4,50.54696463
5,50.56677628
6,50.58658794
7,50.6063996
8,50.62621125
9,50.64602291
10,50.66583457
11,50.68564622
12,50.70545788
13,50.72526954
14,50.74508119
15,50.76489285
16,50.78470451
17,50.80451616
18,50.82432782
19,50.84413948
20,50.86395113
21,50.88376279
22,50.90357445
23,50.9233861
24,50.94319776
25,50.96300942
26,50.98282107
27,51.00263273
28,51.02244438
29,51.04225604
30,51.0620677
31,51.08187935
32,51.10169101
33,51.12150267
34,51.14131432
35,51.16112598
36,51.18093764
37,51.20074929
38,51.22056095
39,51.24037261
40,51.26018426
41,51.27999592
42,51.29980758
43,51.31961923
44,51.33943089
45,51.35924255
46,51.3790542
47,51.39886586
48,51.41867752
49,51.43848917
50,51.45830083
51,51.47811249
52,51.49792414
53,51.5177358
54,51.53754746
55,51.55735911
56,51.57717077
57,51.59698243
58,51.61679408
59,51.63660574
60,51.6564174
61,51.67622905
62,51.69604071
63,51.71585237
64,51.73566402
65,51.75547568
66,51.77528734
67,51.79509899
68,51.81491065
69,51.83472231
70,51.85453396
71,51.87434562
72,51.89415728
73,51.91396893
74,51.93378059
75,51.95359225
76,51.9734039
77,51.99321556
78,52.01302721
79,52.03283887
80,52.05265053
81,52.07246218
82,52.09227384
83,52.1120855
84,52.13189715
85,52.15170881
86,52.17152047
87,52.19133212
88,52.21114378
89,52.23095544
90,52.25076709
91,52.27057875
92,52.29039041
93,52.31020206
94,52.33001372
95,52.34982538
96,52.36963703
97,52.38944869
98,52.40926035
99,52.429072
100,52.44888366
101,52.46869532
102,52.48850697
103,52.50831863
104,52.52813029
105,52.54794194
106,52.5677536
107,52.58756526
108,52.60737691
109,52.62718857
110,52.64700023
111,52.66681188
112,52.68662354
113,52.7064352
114,52.72624685
115,52.74605851
116,52.76587017
117,52.78568182
118,52.80549348
119,52.82530514
120,52.84511679
121,52.86492845
122,52.88474011
123,52.90455176
124,52.92436342
125,52.94417508
126,52.96398673
127,52.98379839
128,53.00361005
129,53.0234217
130,53.04323336
131,53.06304501
132,53.08285667
133,53.10266833
134,53.12247998
135,53.14229164
136,53.1621033
137,53.18191495
138,53.20172661
139,53.22153827
140,53.24134992
141,53.26116158
142,53.28097324
143,53.30078489
144,53.32059655
145,53.34040821
146,53.36021986
147,53.38003152
148,53.39984318
149,53.41965483
150,53.43946649
151,53.45927815
152,53.4790898
153,53.49890146
154,53.51871312
155,53.53852477
156,53.55833643
157,53.57814809
158,53.59795974
159,53.6177714
160,53.63758306
161,53.65739471
162,53.67720637
163,53.69701803
164,53.71682968
165,53.73664134
166,53.756453
167,53.77626465
168,53.79607631
169,53.81588797
170,53.83569962
171,53.85551128
172,53.87532294
173,53.89513459
174,53.91494625
175,53.93475791
176,53.95456956
177,53.97438122
178,53.99419288
179,54.01400453
180,54.03381619
181,54.05362785
182,54.0734395
183,54.09325116
184,54.11306281
185,54.13287447
186,54.15268613
187,54.17249778
188,54.19230944
189,54.2121211
190,54.23193275
191,54.25174441
192,54.27155607
193,54.29136772
194,54.31117938
195,54.33099104
196,54.35080269
197,54.37061435
198,54.39042601
199,54.41023766
200,54.43004932
201,54.44986098
202,54.46967263
203,54.48948429
204,54.50929595
205,54.5291076
206,54.54891926
207,54.56873092
208,54.58854257
209,54.60835423
210,54.62816589
211,54.64797754
212,54.6677892
213,54.68760086
214,54.70741251
215,54.72722417
216,54.74703583
217,54.76684748
218,54.78665914
219,54.8064708
220,54.82628245
221,54.84609411
222,54.86590577
223,54.88571742
224,54.90552908
225,54.92534074
226,54.94515239
227,54.96496405
228,54.98477571
229,55.00458736
230,55.02439902
231,55.04421068
232,55.06402233
233,55.08383399
